Species_ID,
Akodon_boliviensis,'Akodon boliviensis FMNH 51296.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 52547.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 52548.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 52549.JPG'
Akodon_boliviensis,'Akodon boliviensis FMNH 52551.JPG'
Akodon_budini,'Akodon budini FMNH 23351.JPG'
Akodon_budini,'Akodon budini FMNH 23352.JPG'
Akodon_budini,'Akodon budini FMNH 23355.JPG'
Akodon_budini,'Akodon budini FMNH 23356.JPG'
Akodon_budini,'Akodon budini FMNH 23357.JPG'
Akodon_budini,'Akodon budini FMNH 23359.JPG'
Akodon_budini,'Akodon budini FMNH 23360.JPG'
Akodon_budini,'Akodon budini FMNH 23361.JPG'
Akodon_budini,'Akodon budini FMNH 23362.JPG'
Akodon_budini,'Akodon budini FMNH 23363.JPG'
Akodon_budini,'Akodon budini FMNH 23364.JPG'
Akodon_budini,'Akodon budini FMNH 23365.JPG'
Akodon_budini,'Akodon budini FMNH 23369.JPG'
Akodon_budini,'Akodon budini FMNH 23370.JPG'
Akodon_budini,'Akodon budini FMNH 23371.JPG'
Akodon_budini,'Akodon budini FMNH 39467.JPG'
Akodon_budini,'Akodon budini USNM 259611.JPG'
Akodon_budini,'Akodon budini USNM 259612.JPG'
Akodon_cursor,'Akodon cursor FMNH 141602.JPG'
Akodon_cursor,'Akodon cursor FMNH 141603.JPG'
Akodon_cursor,'Akodon cursor FMNH 141604.JPG'
Akodon_cursor,'Akodon cursor FMNH 141605.JPG'
Akodon_cursor,'Akodon cursor FMNH 141609.JPG'
Akodon_cursor,'Akodon cursor FMNH 141610.JPG'
Akodon_cursor,'Akodon cursor FMNH 141611.JPG'
Akodon_cursor,'Akodon cursor FMNH 141612.JPG'
Akodon_cursor,'Akodon cursor FMNH 145329.JPG'
Akodon_cursor,'Akodon cursor FMNH 145332.JPG'
Akodon_cursor,'Akodon cursor FMNH 145337.JPG'
Akodon_cursor,'Akodon cursor FMNH 145348.JPG'
Akodon_cursor,'Akodon cursor FMNH 145354.JPG'
Akodon_cursor,'Akodon cursor FMNH 145356.JPG'
Akodon_cursor,'Akodon cursor FMNH 145360.JPG'
Akodon_cursor,'Akodon cursor FMNH 145361.JPG'
Akodon_cursor,'Akodon cursor FMNH 145363.JPG'
Akodon_cursor,'Akodon cursor FMNH 230328.JPG'
Akodon_cursor,'Akodon cursor FMNH 230329.JPG'
Akodon_cursor,'Akodon cursor FMNH 230331.JPG'
Akodon_cursor,'Akodon cursor FMNH 26578.JPG'
Akodon_cursor,'Akodon cursor FMNH 26580.JPG'
Akodon_cursor,'Akodon cursor FMNH 26584.JPG'
Akodon_cursor,'Akodon cursor FMNH 94445.JPG'
Akodon_cursor,'Akodon cursor FMNH 94452.JPG'
Akodon_cursor,'Akodon cursor FMNH 94468.JPG'
Akodon_cursor,'Akodon cursor FMNH 94476.JPG'
Akodon_cursor,'Akodon cursor FMNH 94497.JPG'
Akodon_cursor,'Akodon cursor FMNH 94500.JPG'
Akodon_cursor,'Akodon cursor FMNH 94508.JPG'
Akodon_dayi,'Akodon dayi FMNH 140809.JPG'
Akodon_dayi,'Akodon dayi FMNH 140810.JPG'
Akodon_dayi,'Akodon dayi FMNH 21575.JPG'
Akodon_dayi,'Akodon dayi FMNH 21578.JPG'
Akodon_dayi,'Akodon dayi FMNH 21588.JPG'
Akodon_dayi,'Akodon dayi FMNH 46145.JPG'
Akodon_dayi,'Akodon dayi USNM 276608.JPG'
Akodon_dayi,'Akodon dayi USNM 276609.JPG'
Akodon_dayi,'Akodon dayi USNM 390699.JPG'
Akodon_dayi,'Akodon dayi USNM 584503.JPG'
Akodon_dayi,'Akodon dayi USNM 584504.JPG'
Akodon_dayi,'Akodon dayi USNM 584505.JPG'
Akodon_dayi,'Akodon dayi USNM 584506.JPG'
Akodon_dolores,'Akodon dolores USNM 364531.JPG'
Akodon_dolores,'Akodon dolores FMNH 35243.JPG'
Akodon_fumeus,'Akodon fumeus FMNH 162755.JPG'
Akodon_fumeus,'Akodon fumeus FMNH 74874.JPG'
Akodon_fumeus,'Akodon fumeus FMNH 74875.JPG'
Akodon_fumeus,'Akodon fumeus FMNH 74876.JPG'
Akodon_fumeus,'Akodon fumeus FMNH 74877.JPG'
Akodon_fumeus,'Akodon fumeus FMNH 74878.JPG'
Akodon_fumeus,'Akodon fumeus FMNH 74879.JPG'
Akodon_fumeus,'Akodon fumeus FMNH 74881.JPG'
Akodon_fumeus,'Akodon fumeus USNM 271433.JPG'
Akodon_fumeus,'Akodon fumeus USNM 290907.JPG'
Akodon_fumeus,'Akodon fumeus USNM 290927.JPG'
Akodon_iniscatus,'Akodon iniscatus FMNH 29127.JPG'
Akodon_iniscatus,'Akodon iniscatus USNM 236314.JPG'
Akodon_iniscatus,'Akodon iniscatus FMNH 35248.JPG'
Akodon_iniscatus,'Akodon iniscatus FMNH 41285.JPG'
Akodon_juninensis,'Akodon juninensis FMNH 23671.JPG'
Akodon_juninensis,'Akodon juninensis FMNH 23673.JPG'
Akodon_juninensis,'Akodon juninensis FMNH 75561.JPG'
Akodon_juninensis,'Akodon juninensis AMNH 231329.JPG'
Akodon_juninensis,'Akodon juninensis AMNH 231334.JPG'
Akodon_juninensis,'Akodon juninensis AMNH 231337.JPG'
Akodon_juninensis,'Akodon juninensis AMNH 231338.JPG'
Akodon_juninensis,'Akodon juninensis AMNH 231340.JPG'
Akodon_kofordi,'Akodon kofordi FMNH 18181.JPG'
Akodon_kofordi,'Akodon kofordi FMNH 52553.JPG'
Akodon_kofordi,'Akodon kofordi FMNH 52554.JPG'
Akodon_kofordi,'Akodon kofordi FMNH 52555.JPG'
Akodon_kofordi,'Akodon kofordi FMNH 52556.JPG'
Akodon_kofordi,'Akodon kofordi FMNH 75483.JPG'
Akodon_kofordi,'Akodon kofordi USNM 172966.JPG'
Akodon_lindberghi,'Akodon lindberghi MN 33682.JPG'
Akodon_lindberghi,'Akodon lindberghi MN 33683.JPG'
Akodon_lindberghi,'Akodon lindberghi MN 33684.JPG'
Akodon_lindberghi,'Akodon lindberghi MN 33685.JPG'
Akodon_lindberghi,'Akodon lindberghi MN 33686.JPG'
Akodon_lindberghi,'Akodon lindberghi MN 33703.JPG'
Akodon_lindberghi,'Akodon lindberghi MN 48026.JPG'
Akodon_lindberghi,'Akodon lindberghi MN 67123.JPG'
Akodon_lutescens,'Akodon lutescens FMNH 21559.JPG'
Akodon_lutescens,'Akodon lutescens FMNH 49696.JPG'
Akodon_lutescens,'Akodon lutescens FMNH 50975.JPG'
Akodon_lutescens,'Akodon lutescens FMNH 74884.JPG'
Akodon_lutescens,'Akodon lutescens FMNH 74886.JPG'
Akodon_lutescens,'Akodon lutescens FMNH 74887.JPG'
