generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-2.57653,-221.274,0.668265,1
20000,0,-3.59726,-103.827,0.288388,0.41525
40000,0,-2.32004,-103.569,0.149103,0.4527
60000,0,-2.54878,-103.812,0.274236,0.403
80000,1,-5.85523,-102.536,0.965557,0.4585
100000,0,-2.522,-103.772,0.395042,0.446143
120000,1,-5.85926,-96.3977,0.324668,0.471167
140000,1,-7.60012,-104.956,2.01623,0.455458
160000,1,-5.80109,-104.873,1.17339,0.441214
180000,0,-2.47154,-103.748,0.134759,0.489714
200000,0,-3.41152,-104.946,0.799717,0.4735
220000,1,-8.44159,-106.949,0.122386,0.43325
240000,2,-10.6575,-90.6594,1.57951,0.5705
260000,0,-2.91139,-105.535,0.712472,0.4434
280000,0,-2.29367,-104.409,0.149242,0.4571
300000,0,-2.72098,-106.594,0.269194,0.458333
320000,0,-2.71026,-105.742,0.503674,0.446083
340000,0,-4.26081,-107.333,0.722767,0.4518
360000,0,-3.04042,-105.511,0.0272708,0.428167
380000,2,-10.5235,-106.83,1.30848,0.4985
400000,0,-2.41285,-103.265,0.292685,0.500136
420000,0,-2.20358,-103.264,0.0445323,0.50775
440000,0,-2.7698,-105.833,0.508242,0.4105
460000,0,-4.82551,-104.894,1.78361,0.452167
480000,0,-3.59523,-105.129,0.92238,0.4241
500000,0,-3.21264,-104.005,1.06941,0.3955
520000,0,-2.47366,-104.089,0.0553405,0.413
540000,0,-6.46875,-106.189,0.267266,0.4825
560000,0,-2.56326,-104.759,0.279156,0.43875
580000,1,-6.33773,-96.8576,1.0711,0.55425
600000,1,-5.21105,-101.465,0.220114,0.487071
620000,0,-2.48057,-106.508,0.156538,0.4795
640000,0,-2.64161,-103.859,0.436921,0.467333
660000,1,-5.57874,-102.49,0.931119,0.4635
680000,0,-2.17601,-103.391,0.0312154,0.46
700000,0,-2.55338,-105.418,0.101134,0.4508
720000,0,-2.67199,-104.627,0.291501,0.3975
740000,0,-2.88128,-104.101,0.501041,0.444786
760000,1,-6.8024,-105.218,0.606283,0.4687
780000,0,-2.25375,-106.918,0.00624263,0.435333
800000,0,-2.81386,-105.918,0.222271,0.5355
820000,0,-3.2913,-107.515,0.0487431,0.5345
840000,0,-2.73699,-105.291,0.544797,0.42
860000,0,-3.0944,-104.948,0.565948,0.4575
880000,0,-2.76331,-108.023,0.417164,0.4195
900000,0,-2.77385,-104.674,0.0360339,0.4465
920000,0,-2.83492,-103.901,0.387833,0.41025
940000,0,-3.9888,-104.584,1.28106,0.44175
960000,0,-2.7197,-105.334,0.275499,0.46475
980000,0,-2.34077,-103.805,0.142519,0.4485
1000000,0,-2.89082,-106.975,0.121938,0.436
1020000,0,-5.27023,-104.842,2.72724,0.460917
1040000,0,-3.01887,-108.265,0.145602,0.445875
1060000,0,-5.38057,-103.783,0.562007,0.4865
1080000,0,-6.26837,-106.705,2.53279,0.450375
1100000,0,-2.13628,-103.153,0.00792885,0.4655
1120000,0,-2.29626,-104.159,0.0543432,0.47475
1140000,0,-2.44036,-103.614,0.317304,0.446
1160000,0,-4.12182,-104.603,0.260902,0.4945
1180000,1,-10.0919,-98.9777,0.71339,0.531438
1200000,0,-3.26524,-103.659,0.109096,0.469
1220000,0,-2.53475,-105.235,0.415202,0.39925
1240000,0,-2.75253,-104.158,0.180498,0.439389
1260000,1,-6.23171,-106.648,0.729673,0.464375
1280000,5,-24.3961,-107.305,5.04286,0.470667
