generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
7215000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.22931,-0.136296,0.234119,0
7220000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.55309,-0.140543,0.325465,0
7225000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.550684,0.0354286,0.0946372,0
7230000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.853338,-0.072533,0.0331596,0
7235000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.491089,0.0643771,0.143237,0
7240000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.791453,-0.0454892,0.0334854,0
7240000,Deltamys_kempi,NA,6.12942,0.0589272,-0.122017,2.86984,0
7245000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.845077,-0.0869706,0.00975477,0
7250000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.659272,-0.0324178,0.123861,0
7250000,Oxymycterus_nasutus,NA,5.60702,0.450386,0.101171,0.219102,0
7255000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.484612,0.0199469,0.0633868,0
7260000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.3568,-0.188069,0.181252,0
7265000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.04415,-0.118002,0.00962489,0
7270000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.1096,-0.279307,0.03741,0
7270000,Oxymycterus_rufus,Juscelinomys_huanchacae,3.04933,1.36317,-0.149815,0.115515,0
7270000,Deltamys_kempi,Akodon_mimus,3.21525,1.63649,-0.237704,0.0880653,0
7275000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.767981,-0.0271066,0.162444,0
7280000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.534042,-0.0396165,0.0955529,0
7280000,Akodon_aerosus,Akodon_cursor,4.02391,1.26499,-0.183592,0.454543,0
7285000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.58991,-0.141669,0.307485,0
7290000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.17473,-0.077524,0.47129,0
7295000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.534947,-0.0715151,0.00551246,0
7295000,Akodon_aerosus,Akodon_cursor,3.95633,1.86327,-0.265207,0.259711,0
7300000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.626773,-0.0532508,0.000250685,0
7305000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.07544,-0.098777,0.174668,0
7310000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.7706,-0.0556047,0.065489,0
7315000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.698397,-0.0525463,0.0791682,0
7320000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.890279,-0.0488767,0.213139,0
7325000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.02763,-0.116173,0.297375,0
7330000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.447526,0.0491016,0.0758378,0
7335000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.556812,-0.0413284,0.0191048,0
7340000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.867724,-0.114177,0.184168,0
7345000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.87737,-0.0930813,0.119787,0
7345000,Necromys_obscurus,NA,5.55524,0.0727696,0.00173016,0.221967,0
7350000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.774702,-0.039253,0.0558402,0
7355000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.759999,-0.0480202,0.038802,0
7355000,Akodon_albiventer,NA,6.46327,2.99122,0.290435,0.720488,0
7360000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.687949,-0.000394922,0.0598223,0
7365000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.557094,0.0323137,0.184764,0
7370000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.681007,-0.0270672,0.00815165,0
7375000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.52223,-0.186024,0.206172,0
7380000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.779859,-0.050241,0.195744,0
7380000,Akodon_mimus,Akodon_aerosus,3.76178,1.25202,-0.215475,0.111774,0
7385000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.6822,-0.13014,0.719677,0
7390000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.622401,-0.0294023,0.026716,0
7395000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.03771,-0.135691,0.00199651,0
7400000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.407126,0.102485,0.0814848,0
7405000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.954116,-0.0499384,0.16309,0
7410000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.502298,-0.0438729,0.0193662,0
7415000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.908473,-0.0342312,0.272766,0
7415000,Akodon_orophilus,NA,6.46131,2.42267,-0.0163675,0.907253,0
7420000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.853134,-0.0596223,0.0669814,0
7420000,Necromys_amoenus,NA,5.68713,0.0439988,-0.0704046,1.38536,0
7425000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.79211,-0.146268,0.545914,0
7430000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.28902,-0.144386,0.241821,0
7435000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.588963,0.0344443,0.0777985,0
7440000,Oxymycterus_rufus,Bibimys_chacoensis,0,3.33298,-0.251438,0.707136,0
7445000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.828223,-0.0565539,0.160701,0
7450000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.966964,-0.124461,0.0117298,0
7450000,Deltamys_kempi,NA,4.74047,1.54611,-0.0392397,2.70316,0
7450000,Akodon_juninensis,Akodon_fumeus,5.4048,0.403015,0.184589,0.339088,0
7455000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.902688,-0.0903314,0.0229735,0
7460000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.688982,-0.0269604,0.0974943,0
7465000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.04203,-0.0981471,0.0881478,0
7470000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.47508,-0.168118,0.12287,0
7475000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.897681,-0.0902802,0.112708,0
7480000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.13638,-0.177687,0.279365,0
7480000,Akodon_aerosus,Akodon_cursor,4.03973,3.79014,-0.572161,0.873422,0
7485000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.526595,0.0429402,0.0556157,0
7490000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.831773,-0.0833678,0.0811442,0
7495000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.851212,-0.0501391,0.118087,0
