species,div
Oxymycterus_rufus,0.415404437295624
Oxymycterus_quaestor,0.416182053493808
Oxymycterus_paramensis,0.413309670111532
Oxymycterus_hiska,0.420802279722881
Oxymycterus_nasutus,0.415630572716802
Oxymycterus_dasytrichus,0.415207639382855
Oxymycterus_amazonicus,0.417309551353333
Oxymycterus_delator,0.417057346182684
Juscelinomys_huanchacae,0.412664792664497
Thaptomys_nigrita,0.397935883463469
Thalpomys_lasiotis,0.413098653944609
Thalpomys_cerradensis,0.414425032448639
Podoxymys_roraimae,0.406096143063712
Necromys_lactens,0.415838858684178
Necromys_urichi,0.413092859002016
Necromys_lasiurus,0.412019662974117
Necromys_lenguarum,0.409999010410577
Necromys_obscurus,0.411403176779771
Necromys_amoenus,0.406520300536850
Castoria_angustidens,0.408655647311416
Deltamys_kempi,0.404500730674267
Akodon_mimus,0.418518537308887
Akodon_aerosus,0.417206000099898
Akodon_affinis,0.421510461598303
Akodon_orophilus,0.423598155153217
Akodon_mollis,0.423273386313301
Akodon_torques,0.422966933304418
Akodon_varius,0.421865756041003
Akodon_simulator,0.422727562248665
Akodon_siberiae,0.425581415237132
Akodon_budini,0.424197799161364
Akodon_albiventer,0.422710775194986
Akodon_toba,0.423694913552717
Akodon_dolores,0.424933421025689
Akodon_dayi,0.425002514752431
Akodon_iniscatus,0.422127158865137
Akodon_cursor,0.422808936810029
Akodon_reigi,0.422231081758677
Akodon_montensis,0.418641159969646
Akodon_paranaensis,0.421044281980322
Akodon_mystax,0.421172913629943
Akodon_juninensis,0.422884591675234
Akodon_fumeus,0.423013951235828
Akodon_kofordi,0.425641520758348
Akodon_azarae,0.423740235887514
Akodon_boliviensis,0.424783716596396
Akodon_spegazzinii,0.425871009378916
Akodon_sylvanus,0.421086506707182
Akodon_lutescens,0.423802785066546
Akodon_subfuscus,0.424001319250038
Akodon_lindberghi,0.423470540880852
Bibimys_chacoensis,0.411424672075371
Bibimys_labiosus,0.411424672075371
Lenoxus_apicalis,0.410752171363858
Brucepattersonius_soricinus,0.412972633981145
Blarinomys_breviceps,0.414124926617632
Kunsia_tomentosus,0.403801853427880
Scapteromys_tumidus,0.411684544259749
Scapteromys_aquaticus,0.411516708256617
