generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Oxymycterus_rufus,Bibimys_chacoensis,0,0.032,0,0.00724037,0
5000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.59553,-0.180493,0.311442,0
10000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.67387,-0.19512,0.150949,0
15000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.15365,-0.0617426,0.431497,0
20000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.654825,-0.00555158,0.158823,0
25000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.4532,-0.123851,0.333546,0
30000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.48393,-0.174979,0.118597,0
35000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.90892,-0.196133,0.109136,0
35000,Deltamys_kempi,NA,5.4079,0.107516,-0.257042,2.92892,0
35000,Bibimys_chacoensis,Kunsia_tomentosus,0.326255,3.35946,-0.2014,1.60244,0
40000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.06539,-0.112192,0.0733699,0
45000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.810893,-0.0858814,0.0611606,0
50000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.737666,-0.0795578,0.0307151,0
55000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.02253,-0.125573,0.0825805,0
60000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.00084,-0.119465,0.134676,0
65000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.06084,-0.100009,0.352378,0
70000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.836875,-0.0657497,0.0840311,0
75000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.40246,0.0995982,0.157405,0
80000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.762617,-0.0119861,0.0228765,0
85000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.33728,0.269036,0.0296711,0
85000,Bibimys_chacoensis,Bibimys_labiosus,6.5604,1.76537,-0.104181,6.36115,0
90000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.20939,-0.12187,0.326489,0
95000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.966686,-0.101235,0.00605628,0
100000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.13159,-0.0989971,0.0314659,0
100000,Bibimys_chacoensis,Bibimys_labiosus,4.54555,3.85657,0.358129,4.08836,0
105000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.58561,-0.204731,0.109335,0
110000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.06123,-0.103777,0.0678017,0
115000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.632223,-0.00888918,0.0375153,0
115000,Oxymycterus_paramensis,NA,5.78523,4.47283,-0.0255412,3.1117,0
120000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.36864,-0.133437,0.261431,0
125000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.416966,0.0677788,0.0526342,0
130000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.52741,-0.221893,0.169428,0
135000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.10815,-0.142475,0.0654526,0
140000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.962713,-0.100012,0.129888,0
145000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.744612,-0.0790877,0.0108044,0
150000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.08212,-0.135964,0.108843,0
150000,Deltamys_kempi,NA,6.17809,0.858605,0.324247,0.716123,0
155000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.21887,-0.0836121,0.384594,0
