"","Phylogenetic signal","p-value","Effect size"
"Skull - ventral",0.685717958115553,0.001,10.9286990041595
"Skull - lateral",0.612769915703784,0.001,9.06104013208452
"Mandible",0.648779299587723,0.001,8.58672465305721
"Size",1.28802768861455,0.001,7.62250337616387
