"","Procrustes variance Clade A","Procrustes variance Clade B","Pairwise absolute distance","p-value"
"Skull - ventral",0.00250657436522463,0.00146867701020414,0.00103789735502049,0.007
"Skull - lateral",0.00355412003446741,0.00225759539415843,0.00129652464030898,0.008
"Mandible",0.00516238375370266,0.00258728655557541,0.00257509719812725,0.001
"Size",0.111191926753759,0.0133661821688525,0.0978257445849068,0.001
