"","test statistic","df","p-value","correlation"
"Skull - ventral x Skull - lateral",40.2105445655456,57,1.56889515561736e-43,0.982826302220671
"Skull - ventral x Mandible",45.7821600902765,57,1.19775316643958e-46,0.986673902330568
"Skull - lateral x Mandible",36.8403276647588,57,1.92093258397788e-41,0.979640140359802
