generation,rank_1,rank_2,swapAccepted
354000,1,2,1
355000,2,4,1
356000,2,4,1
357000,3,4,1
358000,2,4,1
359000,2,4,1
360000,3,4,1
361000,2,3,1
362000,1,2,1
363000,2,4,1
364000,2,4,1
365000,2,3,1
366000,2,3,1
367000,2,3,1
368000,1,4,1
369000,1,2,1
370000,3,4,1
371000,2,3,1
372000,3,4,1
373000,2,3,1
374000,1,4,1
375000,2,3,1
376000,2,4,1
377000,1,2,1
378000,1,2,1
379000,2,4,1
380000,2,4,1
381000,2,3,1
382000,2,3,1
383000,2,4,1
384000,2,3,1
385000,3,4,1
386000,2,4,1
387000,1,3,1
388000,2,3,1
389000,3,4,1
390000,1,2,1
391000,1,3,1
392000,1,4,1
393000,1,3,1
394000,3,4,1
395000,1,4,1
396000,2,3,1
397000,1,2,1
398000,1,3,1
399000,1,3,1
400000,3,4,1
401000,1,3,1
402000,1,4,1
403000,1,2,1
404000,3,4,1
405000,2,3,1
406000,2,3,1
407000,2,4,1
408000,2,4,0
409000,1,2,1
410000,2,3,1
411000,1,2,1
412000,1,3,1
413000,1,3,1
414000,1,3,1
415000,3,4,1
416000,1,3,1
417000,1,2,1
418000,1,2,1
419000,3,4,1
420000,2,4,1
421000,2,4,1
422000,2,3,1
423000,1,2,1
424000,2,3,1
425000,2,3,1
426000,3,4,1
427000,1,2,1
428000,2,3,1
429000,1,3,1
430000,1,2,1
431000,2,3,1
432000,1,3,1
433000,2,4,1
434000,2,3,1
435000,1,2,1
436000,1,2,1
437000,1,3,1
438000,2,4,1
439000,3,4,1
440000,2,3,1
441000,1,3,1
442000,1,3,1
443000,2,4,1
444000,1,3,1
445000,1,2,1
446000,2,3,1
447000,1,4,1
448000,2,4,1
449000,1,2,1
450000,1,3,1
451000,1,2,1
452000,1,4,1
453000,1,3,1
454000,1,4,1
455000,3,4,1
456000,1,4,1
457000,1,3,1
458000,1,4,1
459000,1,3,1
460000,1,4,0
461000,1,3,1
462000,2,4,1
463000,1,4,1
464000,1,3,1
465000,1,4,1
466000,2,3,1
467000,1,3,1
468000,1,4,1
469000,2,4,1
470000,1,4,1
471000,2,4,1
472000,1,4,1
473000,2,4,1
474000,1,4,1
475000,2,4,1
476000,1,3,1
477000,2,4,1
478000,1,4,1
479000,3,4,1
480000,2,3,1
481000,2,3,1
482000,3,4,1
483000,2,4,1
484000,3,4,1
485000,1,2,1
486000,2,3,1
487000,2,3,1
488000,1,4,1
489000,2,3,1
490000,3,4,1
491000,1,4,1
492000,1,4,1
493000,1,2,1
494000,2,4,1
495000,2,4,1
496000,1,4,1
497000,2,4,1
498000,2,4,1
499000,2,3,1
500000,2,4,1
501000,1,2,1
502000,3,4,1
503000,1,2,1
504000,1,2,1
505000,1,3,1
506000,3,4,1
507000,1,4,1
508000,3,4,1
509000,1,3,1
510000,2,4,1
511000,1,3,1
512000,2,4,1
513000,2,4,1
514000,2,3,1
515000,2,3,1
516000,1,4,1
517000,1,3,1
518000,2,4,1
519000,1,4,1
520000,3,4,1
521000,2,4,1
522000,1,4,1
523000,2,4,1
524000,3,4,1
525000,1,4,1
526000,2,4,1
527000,2,4,1
528000,2,3,1
529000,1,4,1
530000,2,3,1
531000,2,4,1
532000,1,4,1
533000,1,2,1
534000,3,4,1
535000,2,4,1
536000,1,4,1
537000,1,3,1
538000,1,4,1
539000,1,3,1
540000,2,3,0
541000,2,4,1
542000,1,4,1
543000,1,3,1
544000,1,4,1
545000,1,2,1
546000,1,2,1
547000,2,3,1
548000,1,3,1
549000,3,4,1
550000,2,4,1
551000,1,2,1
552000,1,3,1
553000,2,3,1
554000,1,3,1
555000,3,4,1
556000,2,3,1
557000,1,4,1
558000,1,3,1
559000,2,4,1
560000,3,4,1
561000,1,3,1
562000,2,4,0
563000,1,3,1
564000,3,4,1
565000,1,4,1
566000,1,3,1
567000,2,3,1
568000,2,3,1
569000,1,3,1
570000,1,3,1
571000,1,2,1
572000,2,4,1
573000,2,3,1
574000,1,3,1
575000,3,4,1
576000,3,4,1
577000,1,2,1
578000,2,4,1
579000,2,4,1
580000,3,4,1
581000,2,3,1
582000,2,3,1
583000,1,2,1
584000,2,3,1
585000,2,3,1
586000,2,3,1
587000,1,4,1
588000,1,4,1
589000,1,3,1
590000,1,3,0
591000,1,2,1
592000,2,4,1
593000,1,2,1
594000,3,4,1
595000,2,3,1
596000,1,3,1
597000,2,3,1
598000,1,3,0
599000,1,3,1
600000,1,3,1
601000,3,4,1
602000,3,4,1
603000,1,3,1
604000,2,4,1
605000,1,3,1
606000,2,3,1
607000,3,4,1
608000,1,4,1
609000,2,3,1
610000,1,2,1
611000,3,4,1
612000,1,3,1
613000,2,4,1
614000,1,3,1
615000,1,4,1
616000,1,2,1
617000,3,4,1
618000,3,4,1
619000,2,3,1
620000,1,3,1
621000,2,3,1
622000,2,4,1
623000,2,3,1
624000,3,4,1
625000,2,4,1
626000,2,4,0
627000,2,3,0
628000,1,2,1
629000,2,3,1
630000,2,4,1
631000,1,2,1
632000,2,3,1
633000,1,3,1
634000,1,4,1
635000,2,4,0
636000,1,2,1
637000,1,2,1
638000,2,3,1
639000,1,2,1
640000,1,2,1
641000,1,3,1
642000,2,4,1
643000,2,3,1
644000,1,2,1
645000,1,4,1
646000,2,3,1
647000,2,3,1
648000,1,4,0
649000,2,3,1
650000,1,4,1
651000,2,4,1
652000,2,3,1
653000,3,4,1
654000,1,3,1
655000,1,4,1
656000,2,4,1
657000,3,4,1
658000,1,2,1
659000,1,4,1
660000,2,3,1
661000,2,3,1
662000,2,4,1
663000,2,3,1
664000,1,4,1
665000,2,3,1
666000,3,4,1
667000,1,4,1
668000,1,3,1
669000,2,3,1
670000,1,4,1
671000,2,4,1
672000,1,4,1
673000,3,4,1
674000,2,4,1
675000,2,4,1
676000,1,3,1
677000,1,4,1
678000,3,4,1
679000,1,4,1
680000,1,2,1
681000,3,4,1
682000,1,4,1
683000,2,4,1
684000,2,3,1
685000,1,3,1
686000,1,4,1
687000,1,2,1
688000,1,4,1
689000,3,4,1
690000,1,2,1
691000,2,4,1
692000,1,3,1
693000,2,3,1
694000,1,4,1
695000,2,4,1
696000,2,4,1
697000,1,2,1
698000,2,4,1
699000,1,2,1
700000,1,3,1
701000,1,3,1
702000,2,4,1
703000,1,2,1
704000,3,4,1
705000,2,3,1
706000,1,2,1
707000,1,4,1
708000,1,3,1
709000,1,3,1
710000,1,4,1
711000,2,3,1
712000,1,3,1
713000,2,3,1
714000,1,2,1
715000,1,4,1
716000,1,4,1
717000,2,3,1
718000,2,3,1
719000,3,4,1
720000,1,4,1
721000,3,4,1
722000,2,3,0
723000,2,3,1
724000,1,4,1
725000,1,3,1
726000,1,2,1
727000,1,3,1
728000,3,4,1
729000,2,3,1
730000,1,3,1
731000,2,3,1
732000,2,3,1
733000,3,4,1
734000,1,4,1
735000,2,4,1
736000,1,2,1
737000,1,4,1
738000,3,4,1
739000,1,4,1
740000,2,4,1
741000,1,3,1
742000,3,4,1
743000,3,4,1
744000,2,3,1
745000,1,2,1
746000,2,4,1
747000,2,3,1
748000,3,4,1
749000,2,3,1
750000,1,3,1
751000,1,4,1
752000,2,4,1
753000,1,3,1
754000,2,3,1
755000,1,3,1
756000,2,4,1
757000,1,3,1
758000,1,4,1
759000,1,4,0
760000,1,4,1
761000,1,4,1
762000,1,4,1
763000,3,4,1
764000,1,2,1
765000,2,3,1
766000,2,3,1
767000,1,2,1
768000,1,2,1
769000,1,4,1
770000,2,3,1
771000,1,4,1
772000,1,4,1
773000,1,3,1
774000,2,4,1
775000,1,2,1
776000,1,4,1
777000,1,3,1
778000,2,3,1
779000,2,4,1
780000,1,4,1
781000,1,2,1
782000,3,4,1
783000,2,4,1
784000,1,2,1
785000,1,2,1
786000,1,3,0
787000,2,3,1
788000,2,4,1
789000,2,4,1
790000,1,4,1
791000,1,3,1
792000,1,2,1
793000,3,4,1
794000,2,4,1
795000,2,4,1
796000,2,4,1
797000,1,3,1
798000,2,3,1
799000,3,4,1
800000,2,4,1
801000,3,4,1
802000,1,3,1
803000,3,4,1
804000,3,4,1
805000,3,4,1
806000,1,4,1
807000,2,3,1
808000,1,4,1
809000,1,2,1
810000,3,4,1
811000,1,4,1
812000,2,3,1
813000,1,4,1
814000,3,4,1
815000,3,4,1
816000,2,4,1
817000,1,3,1
818000,2,3,1
819000,1,2,1
820000,1,3,1
821000,1,4,1
822000,1,3,1
823000,1,4,1
824000,2,4,1
825000,2,3,1
826000,1,3,1
827000,2,3,1
828000,1,4,1
829000,2,4,1
830000,3,4,1
831000,3,4,1
832000,1,3,1
833000,1,3,1
834000,1,4,1
835000,2,4,1
836000,1,3,1
837000,1,2,1
838000,1,4,1
839000,1,3,1
840000,2,3,1
841000,2,3,1
842000,3,4,1
843000,3,4,1
844000,1,2,1
845000,1,3,1
846000,2,3,1
847000,1,2,1
848000,2,3,1
849000,2,3,1
850000,1,4,1
851000,1,2,1
852000,3,4,1
853000,1,4,1
854000,2,4,1
855000,1,2,1
856000,3,4,1
857000,1,3,1
858000,1,3,1
859000,1,4,1
860000,2,3,1
861000,2,3,1
862000,2,4,1
863000,1,4,1
864000,3,4,0
865000,2,4,1
866000,3,4,1
867000,2,3,1
868000,2,4,1
869000,1,4,1
870000,1,3,1
871000,1,2,1
872000,3,4,1
873000,1,4,1
874000,3,4,1
875000,3,4,1
876000,3,4,1
877000,2,3,1
878000,2,3,1
879000,2,4,1
880000,1,2,1
881000,1,4,0
882000,1,3,1
883000,1,3,1
884000,3,4,1
885000,1,4,1
886000,3,4,1
887000,1,2,1
888000,2,3,1
889000,1,4,1
890000,1,2,1
891000,1,3,1
892000,1,4,1
893000,1,2,1
894000,3,4,1
895000,1,2,1
896000,1,4,1
897000,1,4,1
898000,2,3,1
899000,2,3,1
900000,2,3,1
901000,1,2,0
902000,1,2,1
903000,1,3,1
904000,2,4,1
905000,1,3,1
906000,1,4,1
907000,3,4,1
908000,1,3,1
909000,3,4,1
910000,1,4,1
911000,3,4,1
912000,1,3,1
913000,1,3,1
914000,2,3,1
915000,3,4,1
916000,1,3,1
917000,1,2,1
918000,1,4,1
919000,2,4,1
920000,1,2,1
921000,1,3,1
922000,2,4,1
923000,1,2,1
924000,2,3,1
925000,1,4,0
926000,1,3,1
927000,3,4,1
928000,1,2,1
929000,1,4,1
930000,1,4,0
931000,2,4,1
932000,2,4,1
933000,1,4,1
934000,1,4,1
935000,3,4,1
936000,1,2,1
937000,2,3,1
938000,2,3,1
939000,2,3,1
940000,1,2,1
941000,1,2,1
942000,1,3,1
943000,1,3,1
944000,1,4,1
945000,1,4,1
946000,1,4,1
947000,1,4,1
948000,1,2,1
949000,1,4,1
950000,2,3,1
951000,1,3,1
952000,1,2,1
953000,2,3,1
954000,3,4,1
955000,2,3,1
956000,2,3,1
957000,1,4,1
958000,1,2,1
959000,1,4,1
960000,1,2,1
961000,1,4,0
962000,1,2,1
963000,2,3,1
964000,1,2,1
965000,2,4,1
966000,3,4,1
967000,1,2,1
968000,1,4,1
969000,3,4,1
970000,2,3,1
971000,1,4,1
972000,1,3,1
973000,2,4,1
974000,1,2,0
975000,2,3,1
976000,1,2,1
977000,2,3,1
978000,1,3,1
979000,1,3,1
980000,1,2,1
981000,1,3,1
982000,2,3,1
983000,2,3,1
984000,3,4,1
985000,1,3,1
986000,1,3,0
987000,1,3,1
988000,1,2,1
989000,3,4,1
990000,2,4,1
991000,2,4,1
992000,2,3,1
993000,1,3,1
994000,1,4,1
995000,3,4,1
996000,1,3,1
997000,3,4,1
998000,1,3,0
999000,1,4,1
1000000,2,4,1
1001000,1,3,1
1002000,3,4,1
1003000,1,3,1
1004000,1,3,1
1005000,1,2,1
1006000,2,3,1
1007000,1,3,1
1008000,2,3,1
1009000,2,3,1
