Species_ID;;Clade
Akodon_boliviensis;'Akodon boliviensis FMNH 107976.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 162749.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 162751.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 162753.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 43376.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 43377.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 49700.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 49702.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 51290.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 51293.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 51295.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 51296.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 52547.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 52548.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 52549.JPG';Clade B
Akodon_boliviensis;'Akodon boliviensis FMNH 52551.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23351.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23352.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23355.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23356.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23357.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23359.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23360.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23361.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23362.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23363.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23364.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23365.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23369.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23370.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 23371.JPG';Clade B
Akodon_budini;'Akodon budini FMNH 39467.JPG';Clade B
Akodon_budini;'Akodon budini USNM 259611.JPG';Clade B
Akodon_budini;'Akodon budini USNM 259612.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141602.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141603.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141604.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141605.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141609.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141610.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141611.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 141612.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145329.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145332.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145337.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145348.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145354.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145356.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145360.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145361.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 145363.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 230328.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 230329.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 230331.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 26578.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 26580.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 26584.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94445.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94452.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94468.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94476.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94497.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94500.JPG';Clade B
Akodon_cursor;'Akodon cursor FMNH 94508.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 140809.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 140810.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 21575.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 21578.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 21588.JPG';Clade B
Akodon_dayi;'Akodon dayi FMNH 46145.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 276608.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 276609.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 390699.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 584503.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 584504.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 584505.JPG';Clade B
Akodon_dayi;'Akodon dayi USNM 584506.JPG';Clade B
Akodon_dolores;'Akodon dolores USNM 364531.JPG';Clade B
Akodon_dolores;'Akodon dolores FMNH 35243.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 162755.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74874.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74875.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74876.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74877.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74878.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74879.JPG';Clade B
Akodon_fumeus;'Akodon fumeus FMNH 74881.JPG';Clade B
Akodon_fumeus;'Akodon fumeus USNM 271433.JPG';Clade B
Akodon_fumeus;'Akodon fumeus USNM 290907.JPG';Clade B
Akodon_fumeus;'Akodon fumeus USNM 290927.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus FMNH 29127.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus USNM 236314.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus FMNH 35248.JPG';Clade B
Akodon_iniscatus;'Akodon iniscatus FMNH 41285.JPG';Clade B
Akodon_juninensis;'Akodon juninensis FMNH 23671.JPG';Clade B
Akodon_juninensis;'Akodon juninensis FMNH 23673.JPG';Clade B
Akodon_juninensis;'Akodon juninensis FMNH 75561.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231329.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231334.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231337.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231338.JPG';Clade B
Akodon_juninensis;'Akodon juninensis AMNH 231340.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 18181.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 52553.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 52554.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 52555.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 52556.JPG';Clade B
Akodon_kofordi;'Akodon kofordi FMNH 75483.JPG';Clade B
Akodon_kofordi;'Akodon kofordi USNM 172966.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33682.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33683.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33684.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33685.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33686.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 33703.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 48026.JPG';Clade B
Akodon_lindberghi;'Akodon lindberghi MN 67123.JPG';Clade B
