generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Oxymycterus_rufus,Bibimys_chacoensis,0,0.032,0,0.005,0
20000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.362197,0.269723,0.0205861,0
40000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.643772,-0.0198231,0.0316624,0
60000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.799882,-0.0514316,0.0365981,0
80000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.40513,0.0947118,0.00367833,0
80000,Kunsia_tomentosus,NA,5.93751,0.0301296,0.169476,0.68129,0
100000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.5069,0.0309449,0.0343667,0
120000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.741254,-0.130467,0.0168333,0
120000,Akodon_aerosus,Akodon_cursor,3.89386,1.48512,-0.161193,0.256359,0
140000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.405561,0.0802961,0.00214674,0
140000,Oxymycterus_paramensis,Oxymycterus_hiska,5.58763,2.68468,0.0583695,0.96521,0
160000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.446759,0.0516402,0.0527342,0
160000,Necromys_obscurus,NA,5.4348,0.835689,-0.100016,0.214503,0
180000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.429042,0.123874,0.0130101,0
200000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.393643,0.174224,0.0849505,0
220000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.04838,-0.125723,0.0331768,0
220000,Oxymycterus_dasytrichus,Oxymycterus_amazonicus,5.39405,4.5981,-0.00886573,4.94245,0
240000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.636866,-0.181932,0.0262756,0
240000,Oxymycterus_rufus,Juscelinomys_huanchacae,4.11677,1.1887,0.0103831,0.00646552,0
240000,Akodon_aerosus,Akodon_cursor,4.03923,1.69916,-0.283128,0.0135463,0
260000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.650918,0.0203204,0.0934939,0
280000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.456422,0.0513715,0.0556514,0
300000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.863544,-0.0950756,0.138431,0
320000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.589988,0.0534538,0.0677364,0
340000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.320677,0.289262,0.161169,0
360000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.39433,0.229778,0.114223,0
380000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.472005,0.0519034,0.0605089,0
380000,Thalpomys_lasiotis,Thalpomys_cerradensis,4.62943,1.17837,0.0137768,0.142817,0
380000,Oxymycterus_nasutus,NA,6.35594,3.29629,-0.276382,0.238843,0
400000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.556244,-0.00338857,0.0090189,0
420000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.431773,0.0726558,0.00249092,0
440000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.520642,0.0788563,0.128778,0
460000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.402509,0.235679,0.0588856,0
480000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.25061,-0.126314,0.00363115,0
500000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.573205,-0.00166101,0.0499798,0
520000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.888831,-0.0946196,0.0333712,0
540000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.311871,0.487629,0.14507,0
560000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.461588,0.100886,0.0726707,0
580000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.654473,-0.0989293,0.0154317,0
580000,Akodon_aerosus,Akodon_cursor,3.89603,1.1698,-0.171892,0.150095,0
600000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.745032,-0.0575997,0.0607328,0
600000,Deltamys_kempi,Akodon_mimus,3.31658,1.52019,-0.0946766,0.146958,0
620000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.534629,0.0967098,0.134991,0
640000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.652801,-0.0502331,0.0146415,0
660000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.366626,0.00507846,0.170009,0
660000,Oxymycterus_rufus,Thaptomys_nigrita,0.217395,1.06831,-0.101337,0.0972588,0
680000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.616988,-0.000137585,0.010242,0
700000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.838257,-0.108905,0.0427456,0
720000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.883917,-0.0750972,0.0873179,0
740000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.895105,-0.0790836,0.0488911,0
760000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.480613,0.157008,0.00712275,0
760000,Castoria_angustidens,NA,4.108,1.26808,-0.219033,1.11222,0
780000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.477571,0.0712442,0.186243,0
800000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.10383,-0.104672,0.164026,0
820000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.77411,-0.189765,0.0335762,0
840000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.569115,0.039489,0.108883,0
860000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.405034,0.159013,0.0850096,0
880000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.834653,-0.00628788,0.293301,0
900000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.21281,-0.142188,0.0190365,0
920000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.928397,-0.0999349,0.020843,0
940000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.18041,-0.138538,0.0207244,0
960000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.0153,-0.0763911,0.10644,0
980000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.407147,0.0873762,0.0229716,0
1000000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.14874,-0.142488,0.156918,0
1020000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.07117,-0.104691,0.0752211,0
1040000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.48279,0.198379,0.25867,0
1060000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.335748,0.400317,0.0264076,0
1080000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.414643,0.304473,0.169177,0
1100000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.580781,0.00286315,0.00504717,0
1120000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.751733,-0.0356002,0.0629695,0
1140000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.525796,0.0210589,0.0279815,0
1160000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.382114,0.322303,0.0306951,0
1180000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.785239,-0.203054,0.0561207,0
